age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
59,blue-collar,single,tertiary,no,2766,yes,no,unknown,9,may,2283,1,0,0,unknown,no
21,retired,married,secondary,no,9423,yes,no,unknown,6,may,-812,0,0,0,unknown,no
51,blue-collar,single,secondary,no,852,yes,no,unknown,20,may,205,1,0,0,unknown,no
51,management,single,secondary,no,9423,no,yes,unknown,22,jun,333,0,0,0,unknown,no
15,blue-collar,married,tertiary,no,6054,yes,no,unknown,18,jun,-343,0,0,0,unknown,no
47,housemaid,married,secondary,no,9423,yes,no,unknown,15,jun,-238,2,-1,0,unknown,no
51,blue-collar,single,secondary,no,-3236,no,yes,unknown,33,jun,-191,1,0,0,unknown,no
27,management,married,secondary,yes,6030,yes,yes,unknown,23,jun,3387,2,0,0,unknown,no
36,unknown,married,secondary,no,5535,yes,no,unknown,16,may,-246,1,0,0,unknown,no
36,retired,single,secondary,no,1602,yes,no,unknown,9,may,333,0,0,0,unknown,yes
47,technician,married,secondary,no,-5270,yes,no,unknown,16,may,-814,1,0,0,unknown,yes
47,entrepreneur,married,secondary,no,6030,yes,yes,unknown,33,may,205,1,0,0,unknown,no
15,services,divorced,primary,yes,2766,yes,yes,unknown,16,may,-335,1,0,0,unknown,no
27,management,divorced,secondary,no,6030,yes,no,unknown,16,jun,333,1,0,0,unknown,no
27,services,single,secondary,yes,-612,yes,no,unknown,16,may,333,2,-1,0,unknown,no
65,management,single,secondary,no,-3238,no,no,unknown,16,jun,1244,0,0,0,unknown,no
47,blue-collar,married,tertiary,no,6054,yes,no,unknown,16,may,-53,3,0,0,unknown,no
47,management,divorced,unknown,no,-5270,yes,yes,unknown,9,may,848,1,0,0,unknown,no
36,management,single,secondary,no,-3238,yes,no,unknown,6,may,333,1,-1,0,unknown,no
50,services,single,primary,no,-5270,no,no,unknown,20,jun,205,2,0,0,unknown,no
21,management,married,secondary,no,-2985,yes,no,unknown,33,may,848,1,0,0,unknown,no
43,services,single,primary,yes,-2942,yes,no,unknown,23,jun,333,1,-1,0,unknown,no
31,technician,single,secondary,yes,852,yes,no,unknown,1,may,-67,3,-1,0,unknown,no
25,blue-collar,single,secondary,no,-8154,yes,yes,unknown,9,may,205,1,-1,0,unknown,no
47,management,married,primary,no,-3238,yes,no,unknown,16,may,-342,0,0,0,unknown,no
47,blue-collar,divorced,tertiary,no,-1820,yes,no,unknown,9,may,462,7,0,0,unknown,no
27,entrepreneur,single,secondary,no,-1820,yes,no,unknown,1,may,-246,1,-1,0,unknown,no
36,management,married,secondary,no,-3238,yes,no,unknown,9,may,-40,1,-1,0,unknown,no
36,unknown,divorced,unknown,no,-2985,no,no,unknown,9,may,258,0,0,0,unknown,no
27,management,single,secondary,no,-5270,yes,no,unknown,9,may,-40,3,0,0,unknown,no
47,management,single,secondary,no,-13925,no,no,unknown,9,may,653,1,-1,0,unknown,no
31,management,single,tertiary,no,852,yes,no,unknown,9,may,-53,3,-1,0,unknown,no
65,blue-collar,divorced,primary,no,-1820,yes,no,unknown,16,jun,-27,2,-1,0,unknown,no
27,management,married,unknown,no,-3238,yes,yes,unknown,25,may,653,-1,0,0,unknown,no
51,blue-collar,married,secondary,no,-2942,yes,yes,unknown,9,jun,-62,2,-1,0,unknown,no
43,services,divorced,primary,no,9423,no,no,unknown,30,may,-814,2,0,0,unknown,no
43,technician,divorced,secondary,yes,6054,yes,no,unknown,9,may,-92,2,-1,0,unknown,no
27,blue-collar,single,secondary,no,16581,yes,no,unknown,23,may,848,24,0,0,unknown,no
25,unknown,married,secondary,no,9423,yes,no,unknown,23,jun,191,0,-1,0,unknown,no
27,retired,single,primary,no,-2985,yes,no,unknown,1,may,-343,1,-1,0,unknown,no
28,self-employed,single,secondary,no,2766,yes,no,unknown,9,jun,-246,1,0,0,unknown,no
59,blue-collar,married,secondary,no,5625,yes,yes,unknown,1,jun,-54,1,0,0,unknown,no
18,management,divorced,primary,yes,-5270,yes,no,unknown,23,may,333,3,0,0,unknown,no
31,management,married,secondary,no,9423,yes,yes,unknown,1,may,1630,1,-1,0,unknown,no
27,management,divorced,secondary,no,-2942,yes,yes,unknown,9,jun,333,2,0,0,unknown,no
47,services,single,tertiary,no,5917,no,no,unknown,1,may,-92,1,-1,0,unknown,no
51,admin.,married,secondary,no,6030,yes,no,unknown,1,jun,-246,0,-1,0,unknown,no
21,services,married,secondary,no,2766,yes,no,unknown,23,may,847,1,-1,0,unknown,no
42,services,single,secondary,no,43546,yes,no,unknown,6,jun,-343,24,-1,0,unknown,no
66,admin.,married,secondary,no,-3238,yes,no,unknown,23,jun,-36,1,0,0,unknown,no
59,services,single,unknown,no,2766,yes,no,unknown,16,may,-40,2,0,0,unknown,no
14,management,divorced,secondary,no,-2942,yes,yes,unknown,16,may,848,1,-1,0,unknown,no
59,management,single,secondary,no,-1284,no,no,unknown,30,jun,-36,1,0,0,unknown,no
36,management,married,unknown,no,9273,yes,no,unknown,0,may,333,13,-1,0,unknown,no
64,technician,divorced,unknown,yes,852,yes,no,unknown,16,jun,1630,3,-1,0,unknown,no
34,blue-collar,single,secondary,no,6054,yes,no,unknown,6,may,848,1,0,0,unknown,no
47,admin.,divorced,unknown,no,848,yes,no,unknown,6,may,333,1,0,0,unknown,no
43,management,married,primary,no,-5270,yes,no,unknown,6,jun,-246,1,-1,0,unknown,no
27,technician,single,secondary,no,-8052,yes,no,unknown,6,may,-246,1,-1,0,unknown,no
25,blue-collar,single,secondary,yes,-5270,no,no,unknown,9,jun,-67,1,0,0,unknown,no
27,admin.,married,primary,no,-612,yes,no,unknown,16,may,-67,1,-1,0,unknown,no
47,services,married,secondary,yes,852,yes,no,unknown,18,may,1244,0,-1,0,unknown,no
21,admin.,single,tertiary,yes,6030,yes,no,unknown,10,jun,848,1,0,0,unknown,no
27,management,divorced,secondary,no,16582,yes,no,unknown,16,may,-1,-1,0,0,unknown,no
40,housemaid,divorced,tertiary,yes,-1820,yes,no,unknown,6,may,-246,2,0,0,unknown,no
40,management,single,secondary,no,6030,yes,no,unknown,-1,jun,-67,1,0,0,unknown,no
27,management,married,secondary,no,-2942,yes,no,unknown,30,jun,-53,3,-1,0,unknown,no
14,technician,divorced,secondary,no,6030,yes,yes,unknown,6,jun,-246,2,-1,0,unknown,no
43,services,single,secondary,no,6030,no,no,unknown,1,may,848,2,-1,0,unknown,no
51,management,single,secondary,no,6030,yes,no,unknown,30,jun,333,2,0,0,unknown,no
59,management,married,primary,no,9423,yes,no,unknown,30,may,333,1,0,0,unknown,no
29,blue-collar,single,secondary,yes,1617,no,no,unknown,23,may,-343,1,-1,0,unknown,no
15,admin.,single,secondary,no,-1820,yes,yes,unknown,9,may,848,1,-1,0,unknown,no
36,services,married,unknown,no,6030,yes,no,unknown,23,jun,-343,1,-1,0,unknown,no
34,management,married,secondary,no,-1820,yes,no,unknown,16,may,2283,1,-1,0,unknown,no
21,management,married,secondary,no,852,yes,yes,unknown,23,jun,333,1,0,0,unknown,no
47,blue-collar,divorced,tertiary,no,2103,yes,no,unknown,16,may,333,1,0,0,unknown,no
43,retired,single,secondary,no,6030,yes,no,unknown,9,may,-67,1,-1,0,unknown,no
65,management,single,secondary,no,6030,yes,no,unknown,1,may,653,0,-1,0,unknown,no
25,management,divorced,secondary,no,852,yes,no,unknown,22,may,2281,0,0,0,unknown,no
25,management,divorced,secondary,no,9423,no,no,unknown,23,may,-40,3,0,0,unknown,no
28,management,single,primary,no,-1820,no,no,unknown,16,may,-40,2,0,0,unknown,no
43,admin.,married,secondary,no,6030,yes,no,unknown,16,jun,-343,1,0,0,unknown,no
15,admin.,married,secondary,no,-2942,yes,no,unknown,33,may,-40,0,0,0,unknown,no
51,retired,married,secondary,no,6054,yes,no,unknown,1,may,1630,1,0,0,unknown,no
25,blue-collar,single,unknown,yes,-1781,yes,no,unknown,9,may,-343,3,0,0,unknown,no
21,blue-collar,married,secondary,no,6030,yes,yes,unknown,-1,may,205,2,0,0,unknown,no
21,management,married,secondary,no,9423,yes,no,unknown,9,may,848,2,-1,0,unknown,no
27,technician,married,primary,no,-3238,yes,no,unknown,16,jun,-53,1,0,0,unknown,no
27,technician,divorced,secondary,no,-2985,yes,no,unknown,9,may,653,1,0,0,unknown,no
34,entrepreneur,divorced,secondary,no,852,yes,no,unknown,16,jun,2283,2,-1,0,unknown,no
21,technician,married,primary,no,6054,yes,no,unknown,6,jun,-67,7,-1,0,unknown,yes
29,services,married,secondary,yes,-5270,yes,no,unknown,23,may,-92,3,-1,0,unknown,no
31,management,single,secondary,no,16582,yes,no,unknown,6,may,-40,2,0,0,unknown,yes
59,blue-collar,married,secondary,no,852,yes,no,unknown,9,jun,646,3,-1,0,unknown,no
51,admin.,single,tertiary,no,6030,yes,no,unknown,-1,jun,-92,1,-1,0,unknown,no
59,admin.,married,primary,yes,6030,yes,no,unknown,30,jun,3337,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,-3238,yes,yes,unknown,16,jun,848,3,0,0,unknown,no
27,services,married,unknown,no,852,yes,no,unknown,6,jun,333,0,-1,0,unknown,no
15,technician,divorced,secondary,no,6049,yes,no,unknown,8,may,-343,1,-1,0,unknown,no
14,housemaid,divorced,tertiary,no,-2942,yes,no,unknown,33,jun,-814,7,0,0,unknown,no
34,management,single,secondary,no,-612,yes,no,unknown,4,may,3386,2,-1,0,unknown,no
25,management,single,primary,yes,2766,yes,no,unknown,22,may,333,0,-1,0,unknown,no
65,management,married,secondary,no,9423,no,no,unknown,12,jun,653,0,-1,0,unknown,no
43,blue-collar,single,secondary,no,2756,yes,no,unknown,16,may,-40,0,-1,0,unknown,no
61,blue-collar,single,secondary,no,852,yes,no,unknown,22,may,-92,1,0,0,unknown,no
51,management,single,secondary,no,6030,yes,no,unknown,9,may,333,3,-1,0,unknown,no
47,management,divorced,tertiary,no,8795,no,no,unknown,23,may,-341,1,0,0,unknown,no
47,technician,single,secondary,yes,-2942,yes,no,unknown,11,may,1,2,-1,0,unknown,no
47,retired,married,secondary,yes,43489,no,no,unknown,16,jun,-343,-1,0,0,unknown,no
15,entrepreneur,married,secondary,no,409,yes,no,unknown,16,may,462,7,-1,0,unknown,no
43,blue-collar,single,secondary,yes,-3238,no,no,unknown,16,may,1244,2,0,0,unknown,no
65,admin.,single,secondary,no,6030,yes,no,unknown,9,jun,-40,1,-1,0,unknown,no
40,housemaid,married,primary,no,-8097,no,no,unknown,-1,may,-67,2,-1,0,unknown,no
47,services,divorced,secondary,no,852,yes,no,unknown,7,jun,3387,1,0,0,unknown,yes
59,management,married,secondary,no,-1820,no,yes,unknown,6,jun,-92,3,0,0,unknown,no
25,blue-collar,single,tertiary,no,16582,yes,no,unknown,9,may,848,3,0,0,unknown,no
15,services,single,primary,no,-1820,yes,no,unknown,23,jun,222,0,-1,0,unknown,no
65,management,single,secondary,no,-5270,no,no,unknown,23,jun,-67,3,-1,0,unknown,no
36,management,married,secondary,yes,6011,yes,no,unknown,16,may,333,2,-1,0,unknown,no
65,management,single,secondary,no,6054,yes,no,unknown,23,may,181,3,-1,0,unknown,no
43,technician,single,unknown,no,9423,yes,no,unknown,11,jun,333,3,0,0,unknown,no
36,management,divorced,secondary,no,-1146,yes,no,unknown,25,jun,-53,3,0,0,unknown,no
34,services,married,tertiary,no,-1820,yes,no,unknown,16,may,183,3,0,0,unknown,no
65,management,married,primary,no,-2942,yes,no,unknown,20,jun,-27,1,-1,0,unknown,no
33,management,single,secondary,no,16582,no,no,unknown,30,may,848,1,0,0,unknown,no
43,blue-collar,single,tertiary,no,852,yes,no,unknown,16,may,3387,1,0,0,unknown,no
65,self-employed,married,secondary,no,-1820,yes,no,unknown,1,jun,-67,3,0,0,unknown,no
29,management,single,primary,no,2612,yes,no,unknown,18,jun,333,13,-1,0,unknown,no
66,housemaid,single,secondary,no,-612,no,no,unknown,16,may,333,3,-1,0,unknown,no
65,blue-collar,single,secondary,yes,-2942,yes,no,unknown,33,jun,-27,3,0,0,unknown,yes
21,services,divorced,secondary,no,6030,no,no,unknown,12,may,-803,1,-1,0,unknown,no
27,management,married,secondary,yes,-5270,yes,no,unknown,9,may,-343,2,-1,0,unknown,no
27,services,single,secondary,no,-3238,yes,no,unknown,23,may,-37,1,0,0,unknown,no
31,admin.,married,unknown,no,6030,yes,no,unknown,11,may,-343,0,-1,0,unknown,no
15,blue-collar,divorced,tertiary,yes,13842,yes,no,unknown,6,jun,-49,2,0,0,unknown,no
47,blue-collar,divorced,secondary,no,852,yes,no,unknown,16,jun,1244,2,0,0,unknown,no
65,unknown,married,secondary,no,2766,yes,no,unknown,18,may,653,1,0,0,unknown,yes
31,services,single,primary,no,2766,yes,no,unknown,9,may,-53,2,-1,0,unknown,no
34,blue-collar,single,tertiary,no,852,yes,no,unknown,6,jun,-53,1,-1,0,unknown,no
36,management,single,secondary,yes,-1820,yes,no,unknown,16,may,848,24,0,0,unknown,no
51,management,married,secondary,no,6054,yes,no,unknown,23,jun,205,0,0,0,unknown,no
43,admin.,single,secondary,no,-5270,yes,no,unknown,6,jun,-40,7,-1,0,unknown,no
27,admin.,divorced,primary,no,9423,yes,no,unknown,22,jun,205,1,0,0,unknown,no
14,management,married,secondary,no,6025,no,no,unknown,15,jun,-53,1,-1,0,unknown,yes
31,management,married,tertiary,no,-612,yes,no,unknown,11,may,333,1,-1,0,unknown,no
15,housemaid,married,secondary,no,-2985,yes,no,unknown,17,jun,462,1,-1,0,unknown,no
34,management,divorced,secondary,no,-1820,yes,no,unknown,20,jun,-36,1,0,0,unknown,no
27,management,married,secondary,no,9423,yes,no,unknown,6,may,333,0,0,0,unknown,no
36,unknown,married,primary,no,-2942,yes,no,unknown,12,may,-40,3,0,0,unknown,no
29,housemaid,single,secondary,yes,-2942,yes,no,unknown,30,jun,-92,3,-1,0,unknown,no
